elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
2.884,static,port_a,B,26.00,25.9500,25.9661,8.6554,0.0161
3.028,static,port_a,B,26.00,26.0700,26.0867,8.6956,0.0167
3.172,static,port_a,B,26.00,26.0600,24.3719,8.1240,-1.6881
3.316,static,port_a,B,26.00,26.0500,26.0644,8.6881,0.0144
3.459,static,port_a,B,26.00,26.0500,26.0277,8.6759,-0.0223
0.000,static,port_a,B,28.00,27.9400,26.3652,8.7884,-1.5748
0.153,static,port_a,B,28.00,27.9400,26.3659,8.7886,-1.5741
0.297,static,port_a,B,28.00,27.9400,27.9512,9.3171,0.0112
0.440,static,port_a,B,28.00,27.9400,27.9498,9.3166,0.0098
0.584,static,port_a,B,28.00,27.9400,27.1916,9.0639,-0.7484
0.728,static,port_a,B,28.00,28.0600,28.0706,9.3569,0.0106
0.872,static,port_a,B,28.00,28.0500,27.6765,9.2255,-0.3735
1.016,static,port_a,B,28.00,28.0400,28.0565,9.3522,0.0165
1.160,static,port_a,B,28.00,28.0400,28.0571,9.3524,0.0171
1.303,static,port_a,B,28.00,28.0400,26.4612,8.8204,-1.5788
1.447,static,port_a,B,28.00,28.0400,28.0494,9.3498,0.0094
1.591,static,port_a,B,28.00,28.0400,28.0500,9.3500,0.0100
1.734,static,port_a,B,28.00,28.0400,27.4655,9.1552,-0.5745
1.878,static,port_a,B,28.00,28.0300,28.0497,9.3499,0.0197
2.022,static,port_a,B,28.00,28.0400,27.4092,9.1364,-0.6308
2.166,static,port_a,B,28.00,28.0300,28.0479,9.3493,0.0179
2.309,static,port_a,B,28.00,28.0300,28.0511,9.3504,0.0211
2.453,static,port_a,B,28.00,28.0300,26.9176,8.9725,-1.1124
2.598,static,port_a,B,28.00,28.0300,28.0494,9.3498,0.0194
2.741,static,port_a,B,28.00,28.0300,28.0248,9.3416,-0.0052
2.885,static,port_a,B,28.00,28.0300,28.0383,9.3461,0.0083
3.028,static,port_a,B,28.00,28.0300,28.0464,9.3488,0.0164
3.173,static,port_a,B,28.00,28.0300,26.5542,8.8514,-1.4758
3.316,static,port_a,B,28.00,28.0300,28.0492,9.3497,0.0192
3.460,static,port_a,B,28.00,28.0300,28.0503,9.3501,0.0203
0.000,static,port_a,B,30.00,29.9400,27.2768,9.0923,-2.6632
0.152,static,port_a,B,30.00,29.9400,28.5799,9.5266,-1.3601
0.296,static,port_a,B,30.00,29.9400,29.9547,9.9849,0.0147
0.440,static,port_a,B,30.00,29.9400,29.9541,9.9847,0.0141
0.584,static,port_a,B,30.00,29.9400,28.8415,9.6138,-1.0985
0.728,static,port_a,B,30.00,29.9400,29.9540,9.9847,0.0140
0.872,static,port_a,B,30.00,29.9400,29.6033,9.8678,-0.3367
1.015,static,port_a,B,30.00,29.9400,29.9504,9.9835,0.0104
1.159,static,port_a,B,30.00,29.9400,29.9547,9.9849,0.0147
1.303,static,port_a,B,30.00,29.9400,28.7955,9.5985,-1.1445
1.446,static,port_a,B,30.00,29.9400,29.9493,9.9831,0.0093
1.590,static,port_a,B,30.00,29.9400,29.9529,9.9843,0.0129
1.734,static,port_a,B,30.00,29.9400,28.8704,9.6235,-1.0696
1.878,static,port_a,B,30.00,30.0500,30.0652,10.0217,0.0152
2.021,static,port_a,B,30.00,30.0400,29.2145,9.7382,-0.8255
2.166,static,port_a,B,30.00,30.0400,30.0541,10.0180,0.0141
2.309,static,port_a,B,30.00,30.0400,30.0546,10.0182,0.0146
2.453,static,port_a,B,30.00,30.0400,28.3781,9.4594,-1.6619
2.597,static,port_a,B,30.00,30.0400,30.0512,10.0171,0.0112
2.740,static,port_a,B,30.00,30.0300,30.0429,10.0143,0.0129
2.885,static,port_a,B,30.00,30.0300,29.0700,9.6900,-0.9600
3.029,static,port_a,B,30.00,30.0300,30.0426,10.0142,0.0126
3.172,static,port_a,B,30.00,30.0300,29.2100,9.7367,-0.8200
3.316,static,port_a,B,30.00,30.0300,30.0444,10.0148,0.0144
3.460,static,port_a,B,30.00,30.0300,30.0493,10.0164,0.0193
0.000,dynamic,port_a,B,30.00,0.1200,0.1576,0.0525,0.0376
0.298,dynamic,port_a,B,30.00,0.1200,0.1480,0.0493,0.0280
0.586,dynamic,port_a,B,30.00,0.1200,0.1441,0.0480,0.0241
0.873,dynamic,port_a,B,30.00,0.1100,0.1423,0.0474,0.0323
1.161,dynamic,port_a,B,30.00,0.7100,0.7343,0.2448,0.0243
1.448,dynamic,port_a,B,30.00,1.2600,1.2793,0.4264,0.0193
1.736,dynamic,port_a,B,30.00,1.7300,1.7564,0.5855,0.0264
2.024,dynamic,port_a,B,30.00,2.1300,2.1565,0.7188,0.0265
2.312,dynamic,port_a,B,30.00,2.4800,2.5025,0.8342,0.0225
2.599,dynamic,port_a,B,30.00,2.8000,2.8224,0.9408,0.0224
2.886,dynamic,port_a,B,30.00,3.1000,3.1219,1.0406,0.0219
3.174,dynamic,port_a,B,30.00,3.4000,3.4195,1.1398,0.0195
3.462,dynamic,port_a,B,30.00,3.6900,3.7132,1.2377,0.0232
3.749,dynamic,port_a,B,30.00,3.9800,4.0069,1.3356,0.0269
4.036,dynamic,port_a,B,30.00,4.2700,4.2916,1.4305,0.0216
4.324,dynamic,port_a,B,30.00,4.5600,4.5805,1.5268,0.0205
4.612,dynamic,port_a,B,30.00,4.8500,4.8696,1.6232,0.0196
4.899,dynamic,port_a,B,30.00,5.1400,5.1622,1.7207,0.0222
5.187,dynamic,port_a,B,30.00,5.4200,5.4483,1.8161,0.0283
5.475,dynamic,port_a,B,30.00,5.7100,5.7347,1.9116,0.0247
5.762,dynamic,port_a,B,30.00,6.0000,6.0236,2.0079,0.0236
6.049,dynamic,port_a,B,30.00,6.2900,6.3136,2.1045,0.0236
6.337,dynamic,port_a,B,30.00,6.5800,6.6009,2.2003,0.0209
6.624,dynamic,port_a,B,30.00,6.8600,6.8857,2.2952,0.0257
6.913,dynamic,port_a,B,30.00,7.1500,7.1745,2.3915,0.0245
7.200,dynamic,port_a,B,30.00,7.4400,7.4628,2.4876,0.0228
7.487,dynamic,port_a,B,30.00,7.7300,7.7535,2.5845,0.0235
7.775,dynamic,port_a,B,30.00,8.0200,8.0371,2.6790,0.0171
8.062,dynamic,port_a,B,30.00,8.3000,8.3282,2.7761,0.0282
8.350,dynamic,port_a,B,30.00,8.5900,8.6146,2.8715,0.0246
8.638,dynamic,port_a,B,30.00,8.8800,8.9020,2.9673,0.0220
8.925,dynamic,port_a,B,30.00,9.1700,9.1898,3.0633,0.0198
9.213,dynamic,port_a,B,30.00,9.4500,9.4778,3.1593,0.0278
9.501,dynamic,port_a,B,30.00,9.7400,9.7653,3.2551,0.0253
9.788,dynamic,port_a,B,30.00,10.0300,10.0522,3.3507,0.0222
10.076,dynamic,port_a,B,30.00,10.3200,10.3383,3.4461,0.0183
10.363,dynamic,port_a,B,30.00,10.6000,10.6283,3.5428,0.0283
10.651,dynamic,port_a,B,30.00,10.8900,10.9110,3.6370,0.0210
10.938,dynamic,port_a,B,30.00,11.1800,11.2027,3.7342,0.0227
11.226,dynamic,port_a,B,30.00,11.4700,11.4864,3.8288,0.0164
11.514,dynamic,port_a,B,30.00,11.7600,11.7679,3.9226,0.0079
11.801,dynamic,port_a,B,30.00,12.0400,12.0656,4.0219,0.0256
